ID_OKRSKY,Rebelové,MZH,JaSaN,VÝZVA,SMSka,SPD,ČSSD,PŘÍSAHA,Levice,ČR1,SPOLU,Švýcarská dem.,Nevolte Urza.cz,HOP Hydra,Generace,Piráti,Koruna Česká,Volt,PB,AUTO,BPS,ANO,STAN,Kruh,Stačilo!,Voluntia,OBEC,OKRES,ODEVZ_OBAL,PL_HL_CELK,ID_OKRSKY_%,Rebelové_%,MZH_%,JaSaN_%,VÝZVA_%,SMSka_%,SPD_%,ČSSD_%,PŘÍSAHA_%,Levice_%,ČR1_%,SPOLU_%,Švýcarská dem._%,Nevolte Urza.cz_%,HOP Hydra_%,Generace_%,Piráti_%,Koruna Česká_%,Volt_%,PB_%,AUTO_%,BPS_%,ANO_%,STAN_%,Kruh_%,Stačilo!_%,Voluntia_%,NEPL_HLASY_%
6,0,1,2,2,0,93,3,18,0,6,289,5,0,1,9,84,1,0,0,75,0,325,138,0,44,3,1500033,7204,1109,1099,0.5459508644222021,0.0,0.09099181073703368,0.18198362147406735,0.18198362147406735,0.0,8.46223839854413,0.27297543221110104,1.6378525932666061,0.0,0.5459508644222021,26.296633303002732,0.4549590536851683,0.0,0.09099181073703368,0.8189262966333031,7.643312101910828,0.09099181073703368,0.0,0.0,6.824385805277525,0.0,29.572338489535944,12.556869881710647,0.0,4.003639672429482,0.27297543221110104,0.00901713255184855
9,0,2,0,0,1,87,0,9,1,3,109,0,0,0,1,37,1,0,0,48,0,285,70,0,24,0,1000040,7105,684,678,1.3274336283185841,0.0,0.2949852507374631,0.0,0.0,0.14749262536873156,12.831858407079647,0.0,1.3274336283185841,0.14749262536873156,0.4424778761061947,16.07669616519174,0.0,0.0,0.0,0.14749262536873156,5.457227138643068,0.14749262536873156,0.0,0.0,7.079646017699115,0.0,42.0353982300885,10.32448377581121,0.0,3.5398230088495577,0.0,0.00877192982456143
357,13,0,4,3,7,736,11,55,34,11,5586,42,4,3,31,2742,28,9,17,640,20,1701,1883,17,320,23,10501134,1100,14236,13940,2.5609756097560976,0.09325681492109039,0.0,0.028694404591104734,0.02152080344332855,0.05021520803443328,5.279770444763271,0.07890961262553801,0.3945480631276901,0.24390243902439024,0.07890961262553801,40.07173601147776,0.30129124820659975,0.028694404591104734,0.02152080344332855,0.22238163558106172,19.670014347202294,0.20086083213773312,0.06456241032998565,0.12195121951219512,4.591104734576758,0.1434720229555237,12.20229555236729,13.507890961262554,0.12195121951219512,2.295552367288379,0.1649928263988522,0.02079235740376506
2050,21,0,9,17,11,993,15,83,45,22,7766,54,9,4,67,4626,45,15,15,927,24,2888,2837,31,423,46,20503649,1100,21257,20993,9.765159815176487,0.10003334444814939,0.0,0.04287143333492116,0.08097937407707331,0.052398418520459206,4.730148144619635,0.07145238889153528,0.3953698851998286,0.2143571666746058,0.10479683704091841,36.993283475444194,0.25722860000952696,0.04287143333492116,0.019053970371076073,0.3191540037155242,22.035916734149477,0.2143571666746058,0.07145238889153528,0.07145238889153528,4.41575763349688,0.11432382222645644,13.756966607916924,13.514028485685706,0.14766827037583957,2.014957366741295,0.21912065926737484,0.012419438302676777
5018,30,0,22,25,11,1647,30,200,44,40,10982,61,17,9,141,6687,68,32,18,1530,30,5549,4306,34,833,63,26005044,1100,32758,32409,15.483353389490572,0.09256687957048967,0.0,0.06788237835169243,0.0771390663087414,0.033941189175846216,5.081921688419883,0.09256687957048967,0.6171125304699312,0.13576475670338486,0.12342250609398624,33.88564904810392,0.188219321793329,0.05245456508994415,0.027770063871146906,0.4350643339813015,20.63315745626215,0.2098182603597766,0.09873800487518898,0.05554012774229381,4.720910858094974,0.09256687957048967,17.121787157888242,13.286432781017618,0.1049091301798883,2.5702736894072635,0.19439044709802833,0.010653886073630825
25014,90,0,26,54,21,3209,86,459,74,88,22012,143,30,17,224,11012,137,64,50,3109,50,12592,8432,94,1712,70,66015708,1100,64623,63855,39.17312661498708,0.14094432699083861,0.0,0.0407172500195756,0.08456659619450317,0.032887009631195674,5.025448281262235,0.13468013468013468,0.718816067653277,0.11588755774802287,0.13781223083548663,34.471850285803775,0.2239448751076658,0.04698144233027954,0.02662281732049174,0.35079476939942056,17.245321431367945,0.2145485866416099,0.10022707697126303,0.07830240388379923,4.868843473494636,0.07830240388379923,19.719677394096,13.204917390963903,0.14720851930154255,2.6810743089812856,0.10962336543731892,0.011884313634464516
515,0,2,0,0,0,8,0,0,0,0,11,1,0,0,0,3,0,2,0,11,0,92,5,0,4,0,1000270,7102,139,139,370.50359712230215,0.0,1.4388489208633095,0.0,0.0,0.0,5.755395683453238,0.0,0.0,0.0,0.0,7.913669064748201,0.7194244604316548,0.0,0.0,0.0,2.158273381294964,0.0,1.4388489208633095,0.0,7.913669064748201,0.0,66.18705035971223,3.597122302158273,0.0,2.877697841726619,0.0,0.0
24219,39,0,24,21,9,2010,41,223,46,34,14715,107,13,14,152,7802,88,50,30,2026,25,6935,5859,55,1043,53,40511583,1100,42045,41414,58.480224078813926,0.09417105326701115,0.0,0.05795141739508378,0.05070749022069831,0.021731781523156423,4.853431206838267,0.09900033804993481,0.5384652532959868,0.11107355000724392,0.08209784130970203,35.53146279036075,0.25836673588641523,0.03139035108900372,0.03380499348046554,0.3670256435021973,18.839039938185152,0.21248853044864058,0.12073211957309123,0.07243927174385474,4.892065485101656,0.06036605978654561,16.745544984787752,14.147389771574831,0.13280533153040033,2.518472014294683,0.1279760467474767,0.015007729813295234
683,0,1,0,0,0,20,4,4,0,0,19,1,0,0,1,14,0,0,0,21,0,158,13,0,18,0,1000320,7102,277,274,249.27007299270073,0.0,0.36496350364963503,0.0,0.0,0.0,7.2992700729927,1.4598540145985401,1.4598540145985401,0.0,0.0,6.934306569343065,0.36496350364963503,0.0,0.0,0.36496350364963503,5.109489051094891,0.0,0.0,0.0,7.664233576642336,0.0,57.66423357664233,4.744525547445255,0.0,6.569343065693431,0.0,0.010830324909747335
41028,41,0,15,43,12,2357,59,310,88,69,19942,131,23,8,191,11165,104,57,37,2430,41,8409,8201,65,1385,88,52018512,1100,55940,55271,74.2306091802211,0.07417994970237557,0.0,0.027139005988673987,0.07779848383419877,0.02171120479093919,4.264442474353639,0.10674675688878436,0.5608727904325957,0.15921550180022073,0.12483942754790034,36.08040382840911,0.2370139856344195,0.04161314251596678,0.014474136527292795,0.34557000958911543,20.200466790903004,0.18816377485480631,0.10312822275696115,0.06694288143872917,4.396518970165186,0.07417994970237557,15.214126757250638,14.837799207541025,0.11760235928425394,2.5058348862875652,0.15921550180022073,0.01195924204504828
